"","NSEBANK.Adjusted"
"1483",10180.450195
"1484",10368.400391
"1485",10279.599609
"1486",10447.849609
"1487",11148.650391
"1488",10686.799805
"1489",10211.700195
"1490",10175.900391
"1491",10081.700195
"1492",10098.25
"1493",9899.75
"1494",9617.799805
"1495",9883.299805
"1496",10222.950195
"1497",10197.150391
"1498",10082.099609
"1499",10141.450195
"1500",10334.950195
"1501",10288.950195
"1502",10622.150391
"1503",10665.25
"1504",10389.25
"1505",10336.549805
"1506",10744.900391
"1507",10797.549805
"1508",10809.099609
"1509",10880.650391
"1510",10902.450195
"1511",10896.5
"1512",10773.200195
"1513",11241.650391
"1514",11249.349609
"1515",11473.150391
"1516",11628.650391
"1517",11498.900391
"1518",11292.549805
"1519",11054.900391
"1520",10913.150391
"1521",10758.450195
"1522",10583.049805
"1523",10523.349609
"1524",10811.200195
"1525",11142.299805
"1526",11187.849609
"1527",10967.150391
"1528",10706.900391
"1529",10677.349609
"1530",11083.400391
"1531",10909.349609
"1532",10899.299805
"1533",10906.75
"1534",11153.950195
"1535",11284.349609
"1536",11211.299805
