time,Price,Open,High,Low,Vol.,Change_g,Change_cal,Change_r,Change_ln,oil,sensex
239,74.52,73.79,74.97,72.6,422.06K,0.0104,1.044067797,1.04,0.010386551,0.01,0
240,75.28,74.65,75.69,73.38,464.44K,0.0102,1.01986044,1.02,0.01014695,0.01,0
241,74.13,75.3,75.35,72.66,335.81K,-0.0153,-1.527630181,-1.53,-0.015394187,-0.02,0
242,77.01,74.02,77.42,73.71,365.03K,0.0389,3.885066775,3.89,0.038114975,0.04,0.01
243,77.33,77.32,77.82,76.53,283.82K,0.0042,0.415530451,0.42,0.004146695,0,0.02
244,79.06,77.29,79.29,76.32,274.17K,0.0224,2.237165395,2.24,0.022125079,0.02,0.01
245,79.81,78.37,80.1,77.76,183.23K,0.0095,0.948646598,0.95,0.009441752,0.01,0
246,80.16,80.1,80.51,79.45,34.94K,0.0044,0.438541536,0.44,0.004375827,0,0
247,78.86,80.03,80.39,78.22,316.88K,-0.0162,-1.621756487,-1.62,-0.016350509,-0.02,0.01
248,80,79.13,80.45,78.25,289.32K,0.0145,1.445599797,1.45,0.014352506,0.01,0
249,78.17,80.31,80.32,77.05,346.03K,-0.0229,-2.2875,-2.29,-0.023140692,-0.02,0
250,79.66,78.33,80.05,77.82,319.04K,0.0191,1.906102085,1.91,0.018881636,0.02,0
251,78.7,79.84,80.62,78.06,298.72K,-0.0121,-1.205121768,-1.21,-0.012124422,-0.01,0
252,79.68,78.88,80.95,78.26,301.70K,0.0125,1.24523507,1.25,0.012375458,0.01,0
253,80.87,79.64,81.23,79.44,306.91K,0.0149,1.493473896,1.49,0.014824314,0.01,0.01
254,80.21,81.01,81.09,79.7,278.89K,-0.0082,-0.816124644,-0.82,-0.008194732,-0.01,0.01
255,81.5,80.58,82.07,80.47,299.63K,0.0161,1.60827827,1.61,0.015954825,0.02,0
256,81.87,81.79,82.41,80.75,295.35K,0.0045,0.45398773,0.45,0.004529603,0,0
257,81.49,81.75,81.91,80.16,332.13K,-0.0046,-0.464150482,-0.46,-0.00465231,0,-0.01
258,82.09,81.38,83.03,80.81,430.15K,0.0074,0.736286661,0.74,0.007335893,0.01,0
